Site Number ,Site Type,Site Status,Primary Descriptor
127850001,Primary,Active,"Endeavour Valley Rd, Cooktown "
128700001,Primary,Active,"Mulligan Hwy, Cooktown "
128700002,Primary,Active,"Annan Rd, Cooktown "
128700003,Primary,Active,"Endeavour Valley Rd, Cooktown "
129520001,Primary,Active,"Mulligan Hwy, Cooktown "
131190001,Primary,Active,"Mulligan Hwy, Cooktown "
132020001,Primary,Active,"Mulligan Hwy, Lakeland"
132030001,Primary,Active,"Mulligan Hwy, Rossville "
139710001,Primary,Active,"Mulligan Hwy, Lakeland "
146080001,Primary,Active,"Mossman Daintree Rd, Rocky Point"
147871501,Primary,Active,"Alchera Dr (Captain Cook Hwy), Mossman"
147872501,Primary,Active,"Foxton Ave (Mossman-Daintree Rd), Mossman"
147890501,Primary,Active,"Port Douglas Rd, Port Douglas"
148760001,Primary,Active,"Mulligan Hwy, Mount Carbine"
148820001,Primary,Active,"Mossman-Mount Molloy Rd (Rex Hwy), Julatten"
148830001,Primary,Active,"Captain Cook Hwy, Port Douglas/Craiglie"
148831001,Primary,Active,"Captain Cook Hwy, Craiglie"
148832001,Primary,Active,"Port Douglas Rd, Port Douglas"
149810001,Primary,Active,"Mossman-Mount Molloy Rd, Julatten"
149810002,Primary,Active,"Mossman Mount Molloy Rd, Julatten"
149840001,Primary,Active,"Captain Cook Hwy, Mowbray"
150902501,Primary,Active,"Captain Cook Hwy, Oak Beach"
151900001,Public Complaint,Active,"Main St (Mulligan Hwy), Mount Molloy"
151900002,Primary,Active,"Mulligan Hwy, Mount Molloy"
151900003,Primary,Active,"Mulligan Hwy, Mount Molloy"
151960001,Primary,Active,"Captain Cook Hwy, Wangetti"
154071101,Primary,Active,"Captain Cook Hwy, Palm Cove"
154072101,Primary,Active,"Captain Cook Hwy, Ellis Beach"
155160301,Primary,Active,"Kennedy Hwy, Kuranda"
155160401,Primary,Active,"Kennedy Hwy, Kuranda"
155170401,Primary,Active,"Captain Cook Hwy, Smithfield"
155170402,Primary,Active,"Captain Cook Hwy, Smithfield"
155170901,Primary,Active,"Captain Cook Hwy, Trinity Beach"
155170902,Primary,Active,"Captain Cook Hwy, Trinity Beach"
155171401,Primary,Active,"Trinity Beach Rd, Trinity Beach"
155171402,School,Active,"Madang St, Trinity Beach"
155171901,Primary,Active,"Trinity Beach Rd, Trinity Beach"
155172201,Primary,Active,"Captain Cook Hwy, Kewarra Beach/Clifton Beach"
156260001,Primary,Active,"Kennedy Hwy, Kuranda"
156270001,Primary,Active,"Kennedy Hwy, Kuranda"
156272201,Primary,Active,"Kennedy Hwy, Kuranda"
156272202,Stake Holder,Active,"Rob Veivers Dr, Kuranda"
156280001,Primary,Active,"Kennedy Hwy, Kuranda"
156280801,Primary,Active,"Kennedy Hwy, Smithfield"
156280802,Primary,Active,"Kennedy Hwy, Macalister Range"
156281401,Primary,Active,"Kennedy Hwy, Smithfield"
156281901,Primary,Active,"Captain Cook Hwy, Smithfield"
156290001,Primary,Active,"Captain Cook Hwy, Yorkeys Knob/Barron"
156290002,Primary,Active,"Captain Cook Hwy, Machans Beach/Barron"
157390001,Primary,Active,"Kennedy Hwy, Kuranda"
157390002,Primary,Active,"Kennedy Hwy, Koah"
157390003,Primary,Active,"Kennedy Hwy, Kuranda/Speewah"
157411001,Primary,Active,"Redlynch Connection Rd, Redlynch"
157420301,Primary,Active,"McManus St, Whitfield"
157420501,School,Active,"Pease St, Edge Hill"
157420502,Primary,Active,"Greenslopes St, Edge Hill"
157420601,Primary,Active,"Cairns Western Arterial Rd, Brinsmead"
157421101,Primary,Active,"Kamerunga Rd, Freshwater"
157421501,Primary,Active,"Aeroglen Dr, Aeroglen"
157421502,Primary,Active,"Aeroglen Dr, Aeroglen"
157421701,Primary,Active,"Kamerunga Rd, Freshwater/Barron "
157421801,Primary,Active,"Kamerunga Rd, Stratford"
157421901,Primary,Active,"Captain Cook Hwy, Aeroglen/Stratford"
157422001,Primary,Active,"Captain Cook Hwy, Aeroglen/Stratford"
157422002,Primary,Active,"Aeroglen Dr, Aeroglen"
157430101,Primary,Active,"Captain Cook Hwy, Cairns North"
157430201,Primary,Active,"Captain Cook Hwy, Cairns North"
157430601,School,Active,"Sheridan St (Captain Cook Hwy), Cairns North"
